frame_start,frame_stop,gesture,video,score,user
36,133,G12,Knot_Tying_C001,20,C
134,159,G13,Knot_Tying_C001,20,C
160,326,G14,Knot_Tying_C001,20,C
327,608,G15,Knot_Tying_C001,20,C
609,886,G12,Knot_Tying_C001,20,C
887,933,G13,Knot_Tying_C001,20,C
934,998,G14,Knot_Tying_C001,20,C
999,1138,G15,Knot_Tying_C001,20,C
1139,1226,G11,Knot_Tying_C001,20,C
27,81,G1,Knot_Tying_C002,22,C
82,182,G12,Knot_Tying_C002,22,C
183,210,G13,Knot_Tying_C002,22,C
211,258,G14,Knot_Tying_C002,22,C
259,383,G15,Knot_Tying_C002,22,C
384,632,G12,Knot_Tying_C002,22,C
633,675,G13,Knot_Tying_C002,22,C
676,735,G14,Knot_Tying_C002,22,C
736,848,G15,Knot_Tying_C002,22,C
849,999,G11,Knot_Tying_C002,22,C
0,60,G1,Knot_Tying_C003,18,C
61,184,G12,Knot_Tying_C003,18,C
185,220,G13,Knot_Tying_C003,18,C
221,269,G14,Knot_Tying_C003,18,C
270,439,G15,Knot_Tying_C003,18,C
440,515,G14,Knot_Tying_C003,18,C
516,637,G12,Knot_Tying_C003,18,C
638,675,G13,Knot_Tying_C003,18,C
676,733,G14,Knot_Tying_C003,18,C
734,942,G15,Knot_Tying_C003,18,C
943,1044,G11,Knot_Tying_C003,18,C
39,158,G1,Knot_Tying_C004,20,C
159,264,G12,Knot_Tying_C004,20,C
265,296,G13,Knot_Tying_C004,20,C
297,349,G14,Knot_Tying_C004,20,C
350,520,G15,Knot_Tying_C004,20,C
521,610,G14,Knot_Tying_C004,20,C
611,730,G12,Knot_Tying_C004,20,C
731,870,G13,Knot_Tying_C004,20,C
871,973,G14,Knot_Tying_C004,20,C
974,1188,G15,Knot_Tying_C004,20,C
1189,1299,G11,Knot_Tying_C004,20,C
19,91,G1,Knot_Tying_C005,20,C
92,200,G12,Knot_Tying_C005,20,C
201,243,G13,Knot_Tying_C005,20,C
244,438,G14,Knot_Tying_C005,20,C
439,600,G15,Knot_Tying_C005,20,C
601,637,G14,Knot_Tying_C005,20,C
638,784,G12,Knot_Tying_C005,20,C
785,826,G13,Knot_Tying_C005,20,C
827,869,G14,Knot_Tying_C005,20,C
870,981,G15,Knot_Tying_C005,20,C
982,1036,G11,Knot_Tying_C005,20,C
138,368,G12,Knot_Tying_E001,18,E
369,519,G13,Knot_Tying_E001,18,E
520,588,G14,Knot_Tying_E001,18,E
589,731,G15,Knot_Tying_E001,18,E
732,840,G14,Knot_Tying_E001,18,E
841,954,G12,Knot_Tying_E001,18,E
955,1026,G13,Knot_Tying_E001,18,E
1027,1103,G14,Knot_Tying_E001,18,E
1104,1433,G15,Knot_Tying_E001,18,E
1434,1549,G11,Knot_Tying_E001,18,E
39,134,G1,Knot_Tying_E002,19,E
135,269,G12,Knot_Tying_E002,19,E
270,367,G13,Knot_Tying_E002,19,E
368,433,G14,Knot_Tying_E002,19,E
434,613,G15,Knot_Tying_E002,19,E
614,716,G14,Knot_Tying_E002,19,E
717,843,G12,Knot_Tying_E002,19,E
844,955,G13,Knot_Tying_E002,19,E
956,1009,G14,Knot_Tying_E002,19,E
1010,1156,G15,Knot_Tying_E002,19,E
1157,1256,G11,Knot_Tying_E002,19,E
162,241,G1,Knot_Tying_E003,22,E
242,398,G12,Knot_Tying_E003,22,E
399,502,G13,Knot_Tying_E003,22,E
503,570,G14,Knot_Tying_E003,22,E
571,750,G15,Knot_Tying_E003,22,E
751,882,G14,Knot_Tying_E003,22,E
883,974,G12,Knot_Tying_E003,22,E
975,1053,G13,Knot_Tying_E003,22,E
1054,1100,G14,Knot_Tying_E003,22,E
1101,1248,G15,Knot_Tying_E003,22,E
1249,1359,G11,Knot_Tying_E003,22,E
59,122,G1,Knot_Tying_E004,18,E
123,264,G12,Knot_Tying_E004,18,E
265,360,G13,Knot_Tying_E004,18,E
361,428,G14,Knot_Tying_E004,18,E
429,639,G15,Knot_Tying_E004,18,E
640,784,G14,Knot_Tying_E004,18,E
785,932,G12,Knot_Tying_E004,18,E
933,1017,G13,Knot_Tying_E004,18,E
1018,1092,G14,Knot_Tying_E004,18,E
1093,1264,G15,Knot_Tying_E004,18,E
1265,1362,G11,Knot_Tying_E004,18,E
42,130,G1,Knot_Tying_E005,21,E
131,287,G12,Knot_Tying_E005,21,E
288,356,G13,Knot_Tying_E005,21,E
357,440,G14,Knot_Tying_E005,21,E
441,601,G15,Knot_Tying_E005,21,E
602,672,G14,Knot_Tying_E005,21,E
673,778,G12,Knot_Tying_E005,21,E
779,837,G13,Knot_Tying_E005,21,E
838,895,G14,Knot_Tying_E005,21,E
896,1084,G15,Knot_Tying_E005,21,E
1085,1169,G11,Knot_Tying_E005,21,E
0,33,G12,Knot_Tying_F001,16,F
34,85,G13,Knot_Tying_F001,16,F
86,132,G14,Knot_Tying_F001,16,F
133,353,G15,Knot_Tying_F001,16,F
354,414,G14,Knot_Tying_F001,16,F
415,476,G12,Knot_Tying_F001,16,F
477,590,G13,Knot_Tying_F001,16,F
591,708,G14,Knot_Tying_F001,16,F
709,840,G15,Knot_Tying_F001,16,F
841,895,G11,Knot_Tying_F001,16,F
0,51,G12,Knot_Tying_F002,20,F
52,128,G13,Knot_Tying_F002,20,F
129,237,G14,Knot_Tying_F002,20,F
238,399,G15,Knot_Tying_F002,20,F
400,461,G14,Knot_Tying_F002,20,F
462,539,G12,Knot_Tying_F002,20,F
540,596,G13,Knot_Tying_F002,20,F
597,650,G14,Knot_Tying_F002,20,F
651,918,G15,Knot_Tying_F002,20,F
919,983,G11,Knot_Tying_F002,20,F
88,350,G12,Knot_Tying_F003,10,F
351,439,G13,Knot_Tying_F003,10,F
440,1188,G14,Knot_Tying_F003,10,F
1189,1341,G15,Knot_Tying_F003,10,F
1342,1703,G12,Knot_Tying_F003,10,F
1704,1798,G13,Knot_Tying_F003,10,F
1799,2234,G14,Knot_Tying_F003,10,F
2235,2503,G15,Knot_Tying_F003,10,F
2504,2599,G11,Knot_Tying_F003,10,F
0,41,G12,Knot_Tying_F004,10,F
42,112,G13,Knot_Tying_F004,10,F
113,399,G14,Knot_Tying_F004,10,F
400,601,G15,Knot_Tying_F004,10,F
602,681,G14,Knot_Tying_F004,10,F
682,890,G12,Knot_Tying_F004,10,F
891,1131,G13,Knot_Tying_F004,10,F
1132,1290,G14,Knot_Tying_F004,10,F
1291,1729,G15,Knot_Tying_F004,10,F
1730,1791,G11,Knot_Tying_F004,10,F
12,184,G1,Knot_Tying_F005,15,F
185,253,G12,Knot_Tying_F005,15,F
254,313,G13,Knot_Tying_F005,15,F
314,391,G14,Knot_Tying_F005,15,F
392,615,G15,Knot_Tying_F005,15,F
616,785,G14,Knot_Tying_F005,15,F
786,868,G12,Knot_Tying_F005,15,F
869,919,G13,Knot_Tying_F005,15,F
920,977,G14,Knot_Tying_F005,15,F
978,1246,G15,Knot_Tying_F005,15,F
1247,1299,G11,Knot_Tying_F005,15,F
181,244,G15,Knot_Tying_G001,9,G
245,522,G12,Knot_Tying_G001,9,G
523,607,G13,Knot_Tying_G001,9,G
608,653,G14,Knot_Tying_G001,9,G
